County,State,Value,Category Range,Year
Banner,NE,226.2,215.2 - 263.3 (645),2016-2018
Bannock,ID,251.1,215.2 - 263.3 (645),2016-2018
Baraga,MI,180.5,172.4 - 215.1 (641),2016-2018
Barber,KS,165.2,37.8 - 172.3 (647),2016-2018
Barbour,AL,217.2,215.2 - 263.3 (645),2016-2018
Barbour,WV,262.6,215.2 - 263.3 (645),2016-2018
Barceloneta,PR,319.7,263.4 - 329.2 (643),2016-2018
Barnes,ND,217,215.2 - 263.3 (645),2016-2018
Barnstable,MA,162.9,37.8 - 172.3 (647),2016-2018
Barnwell,SC,219.7,215.2 - 263.3 (645),2016-2018
Barranquitas,PR,373.4,329.3 - 1136.3 (644),2016-2018
Barren,KY,305.7,263.4 - 329.2 (643),2016-2018
Barron,WI,264.5,263.4 - 329.2 (643),2016-2018
Barrow,GA,217.4,215.2 - 263.3 (645),2016-2018
Barry,MO,123.1,37.8 - 172.3 (647),2016-2018
Barry,MI,202.9,172.4 - 215.1 (641),2016-2018
Bartholomew,IN,221.1,215.2 - 263.3 (645),2016-2018
Barton,KS,182.3,172.4 - 215.1 (641),2016-2018
Barton,MO,204.6,172.4 - 215.1 (641),2016-2018
Bartow,GA,265.6,263.4 - 329.2 (643),2016-2018
Bastrop,TX,294.7,263.4 - 329.2 (643),2016-2018
Bates,MO,139.9,37.8 - 172.3 (647),2016-2018
Bath,VA,191.3,172.4 - 215.1 (641),2016-2018
Bath,KY,377.7,329.3 - 1136.3 (644),2016-2018
Baxter,AR,133.8,37.8 - 172.3 (647),2016-2018
Bay,MI,177.8,172.4 - 215.1 (641),2016-2018
Bay,FL,268.2,263.4 - 329.2 (643),2016-2018
Bayamón,PR,357.1,329.3 - 1136.3 (644),2016-2018
Bayfield,WI,115.8,37.8 - 172.3 (647),2016-2018
Baylor,TX,409.5,329.3 - 1136.3 (644),2016-2018
Beadle,SD,242.5,215.2 - 263.3 (645),2016-2018
Bear Lake,ID,227.8,215.2 - 263.3 (645),2016-2018
Beaufort,SC,169.5,37.8 - 172.3 (647),2016-2018
Beaufort,NC,323.7,263.4 - 329.2 (643),2016-2018
Beauregard,LA,71.4,37.8 - 172.3 (647),2016-2018
Beaver,UT,77.9,37.8 - 172.3 (647),2016-2018
Beaver,PA,198,172.4 - 215.1 (641),2016-2018
Beaver,OK,395.3,329.3 - 1136.3 (644),2016-2018
Beaverhead,MT,92,37.8 - 172.3 (647),2016-2018
Becker,MN,239.9,215.2 - 263.3 (645),2016-2018
Beckham,OK,494.8,329.3 - 1136.3 (644),2016-2018
Bedford,PA,141.2,37.8 - 172.3 (647),2016-2018
Bedford,TN,458.4,329.3 - 1136.3 (644),2016-2018
Bedford County,VA,183.5,172.4 - 215.1 (641),2016-2018
Bee,TX,242.8,215.2 - 263.3 (645),2016-2018
Belknap,NH,160.4,37.8 - 172.3 (647),2016-2018
Bell,TX,362.8,329.3 - 1136.3 (644),2016-2018
Bell,KY,437.4,329.3 - 1136.3 (644),2016-2018
Belmont,OH,276.7,263.4 - 329.2 (643),2016-2018
Beltrami,MN,214.1,172.4 - 215.1 (641),2016-2018
Ben Hill,GA,347.3,329.3 - 1136.3 (644),2016-2018
Benewah,ID,386.1,329.3 - 1136.3 (644),2016-2018
Bennett,SD,514.3,329.3 - 1136.3 (644),2016-2018
Bennington,VT,279.9,263.4 - 329.2 (643),2016-2018
Benson,ND,333.3,329.3 - 1136.3 (644),2016-2018
Bent,CO,238.9,215.2 - 263.3 (645),2016-2018
Benton,IN,158.5,37.8 - 172.3 (647),2016-2018
Benton,OR,184.1,172.4 - 215.1 (641),2016-2018
Benton,WA,215.3,215.2 - 263.3 (645),2016-2018
Benton,IA,224.2,215.2 - 263.3 (645),2016-2018
Benton,MO,234.8,215.2 - 263.3 (645),2016-2018
Benton,TN,268.2,263.4 - 329.2 (643),2016-2018
Benton,MS,284.9,263.4 - 329.2 (643),2016-2018
Benton,AR,309,263.4 - 329.2 (643),2016-2018
Benton,MN,396.5,329.3 - 1136.3 (644),2016-2018
Benzie,MI,168.6,37.8 - 172.3 (647),2016-2018
Bergen,NJ,156.7,37.8 - 172.3 (647),2016-2018
Berkeley,SC,195.9,172.4 - 215.1 (641),2016-2018
Berkeley,WV,212.2,172.4 - 215.1 (641),2016-2018
Berks,PA,208.1,172.4 - 215.1 (641),2016-2018
Berkshire,MA,134.2,37.8 - 172.3 (647),2016-2018
Bernalillo,NM,239.4,215.2 - 263.3 (645),2016-2018
Berrien,MI,221.8,215.2 - 263.3 (645),2016-2018
Berrien,GA,293.4,263.4 - 329.2 (643),2016-2018
Bertie,NC,430.6,329.3 - 1136.3 (644),2016-2018
Bethel,AK,263.3,215.2 - 263.3 (645),2016-2018
Bexar,TX,378.1,329.3 - 1136.3 (644),2016-2018
Bibb,AL,143.3,37.8 - 172.3 (647),2016-2018
Bibb,GA,159.8,37.8 - 172.3 (647),2016-2018
Bienville,LA,166.3,37.8 - 172.3 (647),2016-2018
Big Horn,WY,213,172.4 - 215.1 (641),2016-2018
Big Horn,MT,236,215.2 - 263.3 (645),2016-2018
Big Stone,MN,182.6,172.4 - 215.1 (641),2016-2018
Billings,ND,191.6,172.4 - 215.1 (641),2016-2018
Bingham,ID,215.3,215.2 - 263.3 (645),2016-2018
Black Hawk,IA,335.2,329.3 - 1136.3 (644),2016-2018
Blackford,IN,361,329.3 - 1136.3 (644),2016-2018
Bladen,NC,426.1,329.3 - 1136.3 (644),2016-2018
Blaine,ID,110.5,37.8 - 172.3 (647),2016-2018
Blaine,NE,262,215.2 - 263.3 (645),2016-2018
Blaine,MT,267.6,263.4 - 329.2 (643),2016-2018
Blaine,OK,505.1,329.3 - 1136.3 (644),2016-2018
Blair,PA,184.8,172.4 - 215.1 (641),2016-2018
Blanco,TX,265.8,263.4 - 329.2 (643),2016-2018
Bland,VA,176.2,172.4 - 215.1 (641),2016-2018
Bleckley,GA,150.8,37.8 - 172.3 (647),2016-2018
Bledsoe,TN,213.2,172.4 - 215.1 (641),2016-2018
Blount,AL,112.4,37.8 - 172.3 (647),2016-2018
Blount,TN,195.2,172.4 - 215.1 (641),2016-2018
Blue Earth,MN,335.1,329.3 - 1136.3 (644),2016-2018
Boise,ID,153.1,37.8 - 172.3 (647),2016-2018
Bolivar,MS,328.2,263.4 - 329.2 (643),2016-2018
Bollinger,MO,70.4,37.8 - 172.3 (647),2016-2018
Bon Homme,SD,308,263.4 - 329.2 (643),2016-2018
Bond,IL,214.6,172.4 - 215.1 (641),2016-2018
Bonner,ID,176.6,172.4 - 215.1 (641),2016-2018
Bonneville,ID,175.5,172.4 - 215.1 (641),2016-2018
Boone,AR,151.4,37.8 - 172.3 (647),2016-2018
Boone,NE,173.6,172.4 - 215.1 (641),2016-2018
Boone,IL,195.8,172.4 - 215.1 (641),2016-2018
Boone,IA,196.5,172.4 - 215.1 (641),2016-2018
Boone,IN,233.8,215.2 - 263.3 (645),2016-2018
Boone,MO,263.6,263.4 - 329.2 (643),2016-2018
Boone,KY,335.9,329.3 - 1136.3 (644),2016-2018
Boone,WV,386.2,329.3 - 1136.3 (644),2016-2018
Borden,TX,407.2,329.3 - 1136.3 (644),2016-2018
Bosque,TX,333.7,329.3 - 1136.3 (644),2016-2018
Bossier,LA,488.1,329.3 - 1136.3 (644),2016-2018
Botetourt,VA,168.3,37.8 - 172.3 (647),2016-2018
Bottineau,ND,433.1,329.3 - 1136.3 (644),2016-2018
Boulder,CO,148.3,37.8 - 172.3 (647),2016-2018
Boundary,ID,197.6,172.4 - 215.1 (641),2016-2018
Bourbon,KS,85.7,37.8 - 172.3 (647),2016-2018
Bourbon,KY,274,263.4 - 329.2 (643),2016-2018
Bowie,TX,549.4,329.3 - 1136.3 (644),2016-2018
Bowman,ND,147.3,37.8 - 172.3 (647),2016-2018
Box Butte,NE,223.1,215.2 - 263.3 (645),2016-2018
Box Elder,UT,148.8,37.8 - 172.3 (647),2016-2018
Boyd,NE,233.3,215.2 - 263.3 (645),2016-2018
Boyd,KY,340.4,329.3 - 1136.3 (644),2016-2018
Boyle,KY,235.2,215.2 - 263.3 (645),2016-2018
Bracken,KY,239,215.2 - 263.3 (645),2016-2018
Bradford,PA,196.2,172.4 - 215.1 (641),2016-2018
Bradford,FL,310.9,263.4 - 329.2 (643),2016-2018
Bradley,AR,198.8,172.4 - 215.1 (641),2016-2018
Bradley,TN,257.8,215.2 - 263.3 (645),2016-2018
Branch,MI,253.5,215.2 - 263.3 (645),2016-2018
Brantley,GA,159.7,37.8 - 172.3 (647),2016-2018
Braxton,WV,308.7,263.4 - 329.2 (643),2016-2018
Brazoria,TX,234.8,215.2 - 263.3 (645),2016-2018
Brazos,TX,257.3,215.2 - 263.3 (645),2016-2018
Breathitt,KY,161.1,37.8 - 172.3 (647),2016-2018
Breckinridge,KY,253.4,215.2 - 263.3 (645),2016-2018
Bremer,IA,236.3,215.2 - 263.3 (645),2016-2018
Brevard,FL,205.5,172.4 - 215.1 (641),2016-2018
Brewster,TX,205.9,172.4 - 215.1 (641),2016-2018
Briscoe,TX,283.7,263.4 - 329.2 (643),2016-2018
Bristol,MA,163.4,37.8 - 172.3 (647),2016-2018
Bristol,RI,179.9,172.4 - 215.1 (641),2016-2018
Bristol,VA,257.9,215.2 - 263.3 (645),2016-2018
Broadwater,MT,177.7,172.4 - 215.1 (641),2016-2018
Bronx,NY,435.6,329.3 - 1136.3 (644),2016-2018
Brooke,WV,171.6,37.8 - 172.3 (647),2016-2018
Brookings,SD,207,172.4 - 215.1 (641),2016-2018
Brooks,TX,290.6,263.4 - 329.2 (643),2016-2018
Brooks,GA,378.4,329.3 - 1136.3 (644),2016-2018
Broome,NY,234,215.2 - 263.3 (645),2016-2018
Broomfield,CO,135.8,37.8 - 172.3 (647),2016-2018
Broward,FL,129.2,37.8 - 172.3 (647),2016-2018
Brown,KS,162.8,37.8 - 172.3 (647),2016-2018
Brown,SD,216.8,215.2 - 263.3 (645),2016-2018
Brown,IN,218.2,215.2 - 263.3 (645),2016-2018
Brown,TX,244.9,215.2 - 263.3 (645),2016-2018
Brown,IL,248.3,215.2 - 263.3 (645),2016-2018
Brown,OH,255.7,215.2 - 263.3 (645),2016-2018
Brown,NE,257.1,215.2 - 263.3 (645),2016-2018
Brown,MN,264.1,263.4 - 329.2 (643),2016-2018
Brown,WI,306,263.4 - 329.2 (643),2016-2018
Brule,SD,171.4,37.8 - 172.3 (647),2016-2018
Brunswick,NC,173.4,172.4 - 215.1 (641),2016-2018
Brunswick,VA,308.1,263.4 - 329.2 (643),2016-2018
Bryan,GA,259.1,215.2 - 263.3 (645),2016-2018
Bryan,OK,429.3,329.3 - 1136.3 (644),2016-2018
Buchanan,IA,287.4,263.4 - 329.2 (643),2016-2018
Buchanan,MO,307.6,263.4 - 329.2 (643),2016-2018
Buchanan,VA,307.9,263.4 - 329.2 (643),2016-2018
Buckingham,VA,135.7,37.8 - 172.3 (647),2016-2018
