FIPS,year,percent_65plus,percent_smokers,pct_diabetes,pct_obese,copd_death_rate,hypertension_death_rate,total_heart_disease_death_rate
05003,2010,16.290256081359658,31.759999999999998,10.2,38.5,53.01,163.8,590.9
05005,2010,28.15466152734281,24.21,7.9,30.3,55.49,131.9,499.3
05007,2010,12.226350334466941,18.87,8.4,27.6,43.42,148.4,446.0
05009,2010,18.09557368606511,22.75,10,27.7,53.77,120.1,517.9
05011,2010,17.558849171752396,21.43,12.1,34.5,44.94,160.9,625.5
05013,2010,17.34427452443118,,10.1,34.5,58.34,139,583.0
05015,2010,18.796501288425944,30.0,9.3,29.3,48.04,113.1,497.2
05017,2010,18.28968556657344,28.860000000000003,12.7,37.2,46.99,197.6,755.5
05019,2010,14.822246455834243,15.85,10.9,32.9,51.96,146.2,626.5
05021,2010,19.91277258566978,29.75,10.6,33,61.68,160.8,746.8
05023,2010,23.516508889401987,21.17,10.2,30.1,59.1,202.8,514.6
05025,2010,16.192232338365795,26.58,11.2,35.4,67.23,185,645.7
05027,2010,15.774784613517777,21.310000000000002,11.4,33.8,54.41,300.9,576.5
05029,2010,16.885809887365095,31.119999999999997,11.1,36.4,54.15,190.2,498.0
05031,2010,12.20076900814487,22.75,11.3,34,66.51,317.5,559.9
05033,2010,13.349796629866356,25.91,9.3,36.1,65.79,152.2,550.7
05035,2010,10.83833745437419,26.11,13.3,37.8,66.04,426.5,648.1
05037,2010,15.630948382040085,34.31,11.4,36.9,77.3,346.6,670.1
05039,2010,18.12546491445574,18.64,11.3,33.4,55.25,133.6,588.6
05041,2010,15.253975605990428,21.95,11.9,37,41.64,233.7,760.2
05043,2010,14.663023679417122,25.94,11.4,32.5,51.66,186.9,497.2
05045,2010,9.984564923789312,18.63,10.8,29.1,55.69,184.7,477.9
05047,2010,16.67952816668504,27.27,10.5,34.2,72.39,138.3,560.7
05049,2010,22.38231682357757,28.939999999999998,9.5,32.3,66.88,204.4,548.2
05051,2010,20.923938501254334,26.979999999999997,9,29,64.61,182.3,554.0
05053,2010,14.558872861455887,32.31,9.9,36.5,65.97,208.8,473.9
05055,2010,14.366958128954291,28.49,13.6,38.2,89.03,406,649.9
05057,2010,15.073464329969907,26.19,12.7,36.6,46.99,211.5,736.2
05059,2010,15.693178056633867,21.81,10.1,33.7,64.34,166.4,571.7
05061,2010,15.272542766019138,26.169999999999998,11.2,36.1,60.12,294.8,796.7
05063,2010,15.613029422152191,26.22,10.4,30.1,59.02,97.2,567.8
05065,2010,23.69954830249162,23.580000000000002,8.6,31.6,59.95,191.6,523.8
05067,2010,15.905189123331672,22.720000000000002,12.4,37.4,76.79,244.4,627.6
05069,2010,13.300836554996703,24.44,13.9,40.1,46.64,290.8,661.8
05071,2010,14.689309751134763,25.52,10.8,35.3,62.14,209.9,536.5
05073,2010,19.51091931476396,20.14,10.5,31.3,53.55,219.4,561.9
05075,2010,18.129923507249686,31.64,10.5,39,76.23,259.5,562.2
05077,2010,15.651755651755654,17.4,11.9,34.5,50.23,395.5,655.5
05079,2010,12.492015047199944,25.27,10.7,32.7,50.63,251.9,624.2
05081,2010,17.16417910447761,27.61,10.5,33.3,60.29,395,584.7
05083,2010,17.1866594943518,34.449999999999996,10.7,33.8,58.82,143.6,597.8
05085,2010,11.198068195042477,28.92,10.4,30.9,66.81,361.3,534.1
05087,2010,15.63376689619995,34.11,11.6,33.1,60.88,133.1,525.1
05089,2010,23.966396639663966,26.419999999999998,10.7,33.9,53.14,95.4,513.8
05091,2010,13.844635232542124,26.400000000000002,11.2,33.7,58.34,338.5,631.0
05093,2010,12.250264014310654,27.3,12.5,39.2,80.3,493.8,661.1
05095,2010,19.107888916195627,,11.4,35.6,49.45,183.7,661.5
05097,2010,22.576235541535226,16.0,9.1,30.7,67.21,109.4,587.9
05099,2010,17.65032788707347,,12.3,34.9,55.61,254.1,644.9
05101,2010,20.484104046242773,33.14,10.1,37.5,48.25,105.4,524.1
05103,2010,16.98917300161253,19.64,11,40.3,55.15,108.7,594.0
05105,2010,16.74645729605515,27.24,10.8,34.3,69.43,224.6,467.2
05107,2010,15.016608230300793,20.24,13.8,38,66.92,605.3,701.4
05109,2010,17.320667613636363,,10.6,34.3,78.03,241.9,726.9
05111,2010,15.94126045278401,36.67,10.7,36.3,94.21,308.4,653.3
05113,2010,19.548071805293464,25.06,9.3,34.1,79.89,189.5,581.8
05115,2010,13.162343621697339,25.75,11.3,35.3,65.99,164.8,516.1
05117,2010,19.75464343040587,24.26,10.1,33.6,61.74,266.2,579.6
05119,2010,12.014715621398663,20.03,10.6,32.9,45.76,301.2,499.8
05121,2010,18.613199665831246,28.46,10.4,35.1,63.54,212.2,590.8
05123,2010,12.321770589487125,26.419999999999998,11.9,38.4,60.19,,
05125,2010,14.859366872259791,24.65,10.2,31.8,52.2,217.9,427.1
05127,2010,17.01108647450111,28.83,10.7,30,51.37,184.7,596.9
05129,2010,21.315081887069177,19.830000000000002,9.7,31.3,51.4,140.6,511.0
05131,2010,13.163189832746127,20.46,10.6,29.9,59.1,236.4,547.8
05133,2010,12.62317066060288,26.640000000000004,13,38.1,76.38,129.2,573.1
05135,2010,23.95942028985507,33.83,9.3,31.5,61.11,109.1,570.2
05137,2010,22.883202841230123,25.669999999999998,10.4,35.7,68.38,224.1,513.6
05139,2010,15.647174849060688,25.919999999999998,10.3,31,68.23,167.1,570.3
05141,2010,22.726747544771808,30.409999999999997,10.2,34.5,60.23,179.6,491.8
05143,2010,9.698858957769673,21.740000000000002,8.5,28.3,57.12,205.8,469.7
05145,2010,14.121722943275246,20.14,9.9,33.7,66.11,328.2,599.7
05147,2010,17.855168601437256,26.06,11,36,74.85,265.1,652.7
05149,2010,15.379752551250792,26.69,11.5,33,73.22,246.5,595.7
06001,2010,11.16870876531574,13.43,7.8,20.4,30.04,263.3,364.5
06003,2010,14.29801894918174,,7.7,23.2,34.1,153,361.9
06005,2010,20.941772686480494,,7.5,22.8,42.58,140.4,422.3
06007,2010,15.420847560116208,18.8,7.3,24.3,58.71,317,430.2
06009,2010,21.177531450690594,,6.7,25.3,44.9,156.4,411.5
06011,2010,11.713392732192004,,7.4,22.3,49.6,310,409.6
06013,2010,12.511828529082031,13.969999999999999,7,23.4,35.96,224.8,359.9
06015,2010,13.600084015963033,,8.1,25.3,66.54,251.2,479.9
06017,2010,14.782815122339017,14.42,6.8,19.7,41.54,199.7,363.1
06019,2010,10.070715924977389,14.04,9.1,29.2,40.15,338.8,482.0
06021,2010,13.36082767447648,,7.1,26.6,57.73,257.2,426.6
06023,2010,13.183565540075106,17.810000000000002,7.8,26.3,61.41,279.6,448.5
06025,2010,10.450101879621785,10.280000000000001,7.5,23.3,27.74,285.7,428.5
06027,2010,19.172383987899085,,7.4,23.7,53.62,281.1,482.0
06029,2010,9.013835975438647,20.419999999999998,8.2,27.6,66.31,383.8,539.3
06031,2010,7.935945396075343,11.32,8.4,24,51.59,272.6,455.3
06033,2010,17.770912180427896,21.69,8,26.2,73.15,217.6,465.7
06035,2010,9.95664781372915,,7.8,25.3,61.06,257.3,494.6
06037,2010,10.912625012139571,15.4,7.8,21.2,31.54,232.4,432.0
06039,2010,11.463314479488163,14.17,8.8,29.5,43.87,425.3,501.1
06041,2010,16.846708632524592,12.49,4.6,15,25.24,190.1,274.8
06043,2010,21.075668873447505,,7.1,23.4,42.84,267,438.8
06045,2010,15.473980341461749,,6.6,24.6,52.75,177.3,422.6
06047,2010,9.38957077917272,14.360000000000001,8.2,31.1,46.41,481.2,447.5
06049,2010,19.775118630080463,,6.8,24.8,69.32,250.3,503.2
06051,2010,9.791681279371536,,6.6,20.5,28.05,141.6,382.2
06053,2010,10.734125411590089,13.74,7,22.7,32.97,198.3,349.3
06055,2010,15.128072009886004,7.6899999999999995,6.3,23.4,39.19,316,391.9
06057,2010,19.571819010021258,11.92,5.5,18,42.66,230.5,335.6
06059,2010,11.674462244429918,13.71,7.3,20.3,32.62,188.7,380.5
06061,2010,15.419360552652556,13.020000000000001,6.2,22.6,39.75,239.9,383.6
06063,2010,20.950085367078437,,6.9,22.5,63.14,245.9,464.5
06065,2010,11.832705298386246,15.57,9.1,26.9,45.78,280,458.0
06067,2010,11.214992721877213,16.34,9,27.4,45.82,312.5,440.4
06069,2010,9.777361481374738,4.62,7.3,24,34.98,179.9,365.0
06071,2010,8.94750613470479,17.09,8.7,27.9,58.0,344.9,519.2
06073,2010,11.386943592638852,14.38,7.5,22.9,35.9,255,376.7
06075,2010,13.693645601206697,15.21,7,16,23.06,206.3,333.9
06077,2010,10.424273824198437,16.93,9.4,30.6,48.23,311.8,470.8
06079,2010,15.291213556608179,11.41,6,19.8,38.75,202,419.6
06081,2010,13.45215152445675,15.27,6.6,19.7,27.53,177.1,331.2
06083,2010,12.86468928484717,12.7,6.4,19.2,30.68,235.2,388.5
06085,2010,11.110837383261293,10.08,7.6,20.8,25.82,250.7,311.5
06087,2010,11.172082524216503,10.95,5.9,19.8,35.27,213.5,368.0
06089,2010,16.967519207554407,22.82,7.5,28,76.8,263,494.9
06091,2010,20.99378881987578,,6.9,22.8,50.67,272.3,539.7
06093,2010,19.602563531977392,16.81,6.7,22.8,57.66,188.1,440.1
06095,2010,11.419992414854324,16.12,9.8,26.7,44.37,303.6,376.7
06097,2010,14.004806551763263,16.06,5.9,22.1,40.84,214.1,388.2
06099,2010,10.695241145696844,17.32,8.1,30.5,50.61,303.8,538.9
06101,2010,12.704879104178321,,7.9,25.7,55.89,365.2,472.9
06103,2010,15.91434729935965,,7.6,25.9,66.56,185.6,428.5
06105,2010,20.13086150490731,,7.2,24.6,59.5,147.7,439.2
06107,2010,9.484862371858979,19.4,7.6,29.3,49.61,371.1,550.4
06109,2010,20.58162710635985,23.43,6.2,22.6,44.79,152,415.5
06111,2010,11.760193043969377,16.150000000000002,6.7,21.6,34.81,283.8,374.4
06113,2010,9.913812396492816,8.95,7.5,22.9,51.0,277.6,366.5
06115,2010,10.09841322496821,,7.7,30.2,77.58,316.4,553.3
08001,2010,8.368661974211783,22.470000000000002,7.3,24.8,52.86,150.1,375.3
08003,2010,11.421205285207863,15.160000000000002,6.3,20.2,75.1,132.3,439.3
08005,2010,10.108969685792184,18.77,6,20.4,52.86,130.7,305.7
08007,2010,17.740328739830648,21.42,5.1,16.5,38.18,110.8,303.4
