County,State,Value,Category Range,Year
Sargent,ND,390.4,378.1 - 427.2 (645),2016-2018
Flagler,FL,390.5,378.1 - 427.2 (645),2016-2018
Berkeley,SC,390.5,378.1 - 427.2 (645),2016-2018
Madison,IA,390.6,378.1 - 427.2 (645),2016-2018
Dubuque,IA,390.7,378.1 - 427.2 (645),2016-2018
Merrick,NE,390.8,378.1 - 427.2 (645),2016-2018
Utah,UT,390.8,378.1 - 427.2 (645),2016-2018
Cobb,GA,390.9,378.1 - 427.2 (645),2016-2018
Monroe,WI,391.6,378.1 - 427.2 (645),2016-2018
Mason,WA,391.6,378.1 - 427.2 (645),2016-2018
McCormick,SC,391.7,378.1 - 427.2 (645),2016-2018
Stutsman,ND,391.8,378.1 - 427.2 (645),2016-2018
Miami-Dade,FL,391.9,378.1 - 427.2 (645),2016-2018
Douglas,KS,391.9,378.1 - 427.2 (645),2016-2018
Natrona,WY,391.9,378.1 - 427.2 (645),2016-2018
Los Angeles,CA,392,378.1 - 427.2 (645),2016-2018
Emmet,IA,392.1,378.1 - 427.2 (645),2016-2018
Juneau,WI,392.1,378.1 - 427.2 (645),2016-2018
Jasper,SC,392.2,378.1 - 427.2 (645),2016-2018
Windsor,VT,392.2,378.1 - 427.2 (645),2016-2018
Box Butte,NE,392.2,378.1 - 427.2 (645),2016-2018
Duchesne,UT,392.3,378.1 - 427.2 (645),2016-2018
Day,SD,392.4,378.1 - 427.2 (645),2016-2018
Franklin,ME,392.4,378.1 - 427.2 (645),2016-2018
Outagamie,WI,392.6,378.1 - 427.2 (645),2016-2018
Taylor,WI,392.6,378.1 - 427.2 (645),2016-2018
Onondaga,NY,392.7,378.1 - 427.2 (645),2016-2018
Hampden,MA,392.8,378.1 - 427.2 (645),2016-2018
Dunn,ND,393,378.1 - 427.2 (645),2016-2018
Fulton,GA,393,378.1 - 427.2 (645),2016-2018
Jackson,MN,393.1,378.1 - 427.2 (645),2016-2018
Adams,WA,393.1,378.1 - 427.2 (645),2016-2018
Guadalupe,TX,393.1,378.1 - 427.2 (645),2016-2018
Grant,SD,393.2,378.1 - 427.2 (645),2016-2018
Faulk,SD,393.3,378.1 - 427.2 (645),2016-2018
Pondera,MT,393.3,378.1 - 427.2 (645),2016-2018
Chippewa,WI,393.4,378.1 - 427.2 (645),2016-2018
Hughes,SD,393.5,378.1 - 427.2 (645),2016-2018
