FIPS,year,percent_65plus,percent_opioid_deaths,physician_ratio,percent_poor_health,percent_rural,percent_no_health_insurance,percent_nonwhite,percent_limited_english,percent_no_vehicles,percent_veterans,percent_public_transit,percent_disabled
01075,2012,19.693992139247612,,7170.5,27.6,100.0,16.9,12.802315165713498,,6.1,11.101251220161505,0.2,21.1
01077,2012,17.504478642809353,,1683.0188679,20.7,51.7,16.3,12.820983918381462,,6.1,10.017896475770925,0.1,17.7
01079,2012,15.869963911731647,,3095.1818181999997,24.0,92.5,18.2,22.425910741478273,,5.1,8.428489593278595,0.2,19.8
01081,2012,9.646826011159948,,1728.6363636,18.4,32.9,15.3,28.12513303722204,,4.8,9.358357749645272,0.9,12.3
01083,2012,13.059111833818108,,2543.8,16.6,67.1,16.0,18.019996879238533,,4.4,11.405550015038546,0.3,13.3
01085,2012,15.77734770988849,,12592.0,32.6,100.0,15.5,74.57537154989384,,12.6,8.500645767288951,0.9,21.0
01087,2012,15.256211180124224,,3170.7142857,26.400000000000002,50.2,15.3,84.13783350617517,,14.0,10.863773607246463,0.0,20.2
01089,2012,12.850932220698507,,1028.5705128,13.600000000000001,22.7,13.7,30.557489519244847,,4.9,13.535797394190674,0.4,12.2
01091,2012,17.43312883435583,,1918.1818182,24.4,70.8,15.2,53.66588550385002,,11.9,10.079088895919012,0.4,23.3
01093,2012,19.108384726413856,,4896.3333333,21.2,99.5,15.8,5.659084233543292,,5.0,9.974626679422654,0.5,22.8
01095,2012,15.417992785911308,,1486.6666667000002,21.0,57.10000000000001,18.6,6.332867733963683,,5.2,10.693052244593158,0.1,16.9
